Pavadinimas,Metai,Kėbulo tipas,Kaina,Kuras,Pavarų dėžė,Variklis,Rida,Miestas,Nuoroda
BMW 525,2005-09,Universalas,1 100 €,Dyzelinas,Automatinė,"2.5 l., 130 kW",300 000 km,Šiauliai,https://autoplius.lt/skelbimai/bmw-525-2-5-l-universalas-2005-dyzelinas-30048267.html
BMW 525,2013-04,Universalas,9 800 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",336 844 km,Klaipėda,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2013-dyzelinas-29997747.html
BMW 525,2007-11,Universalas,3 450 €,Dyzelinas,Automatinė,"3.0 l., 145 kW",485 489 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2007-dyzelinas-29911597.html
BMW 525,2007-07,Universalas,3 850 €,Dyzelinas,Automatinė,"3.0 l., 145 kW",343 170 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2007-dyzelinas-29081977.html
BMW 525,2010,Universalas,4 400 €,Dyzelinas,Automatinė,"3.0 l., 145 kW",250 000 km,Utena,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2010-dyzelinas-29903678.html
BMW 525,2007-11,Universalas,4 620 €,Dyzelinas,Automatinė,"3.0 l., 145 kW",329 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2007-dyzelinas-29659961.html
BMW 525,2008-03,Universalas,4 750 €,Dyzelinas,Automatinė,"3.0 l., 145 kW",291 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2008-dyzelinas-29958943.html
BMW 525,2005-10,Universalas,5 200 €,Dyzelinas,Automatinė,"2.5 l., 120 kW",338 542 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-2-5-l-universalas-2005-dyzelinas-29910953.html
BMW 525,2011-02,Sedanas,6 499 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",416 500 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2011-dyzelinas-29507376.html
BMW 525,2010-11,Sedanas,6 500 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",440 000 km,Kaunas,https://autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2010-dyzelinas-25647887.html
BMW 525,2012-07,Universalas,6 950 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",287 000 km,Utena,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2012-dyzelinas-29984671.html
