Pavadinimas,Metai,Kėbulo tipas,Kaina,Kuras,Pavarų dėžė,Variklis,Rida,Miestas,Nuoroda
Lada 2101,1973,Sedanas,1 850 €,Benzinas,Mechaninė,"1.3 l.,",73 000 km,Vilnius,https://autoplius.lt/skelbimai/lada-2101-1-3-l-sedanas-1973-benzinas-29471088.html
Lada Niva,2002,Visureigis / Krosoveris,1 960 €,Benzinas,Mechaninė,"1.7 l., 58 kW",147 400 km,Vievis,https://autoplius.lt/skelbimai/lada-niva-1-7-l-visureigis-krosoveris-2002-benzinas-29475202.html
Lada Niva,2013-11,Visureigis / Krosoveris,2 600 €,Benzinas,Mechaninė,"1.7 l., 61 kW",51 000 km,Vilnius,https://autoplius.lt/skelbimai/lada-niva-1-7-l-visureigis-krosoveris-2013-benzinas-18683012.html
Lada Samara,1997-08,Hečbekas,4 500 €,Benzinas,Mechaninė,"1.5 l., 52 kW",94 000 km,Alytus,https://autoplius.lt/skelbimai/lada-samara-1-5-l-hecbekas-1997-benzinas-28388946.html
Lada Vesta,2019-02,Sedanas,5 000 €,Benzinas,Mechaninė,"1.6 l., 78 kW",75 000 km,Vilnius,https://autoplius.lt/skelbimai/lada-vesta-1-6-l-sedanas-2019-benzinas-27959071.html
Lada Pickup,2019,Pikapas,6 950 €,Benzinas,Mechaninė,"1.7 l., 61 kW",50 000 km,"Bauska, Latvija",https://autoplius.lt/skelbimai/lada-pickup-1-7-l-pikapas-2019-benzinas-27861711.html
Lada 2107,2007-10,Sedanas,7 800 €,Benzinas,Mechaninė,"1.5 l., 53 kW",19 000 km,"Kryvyi Rih, Ukraina",https://autoplius.lt/skelbimai/lada-2107-1-5-l-sedanas-2007-benzinas-29897498.html
Lada 2121,1983-05,Visureigis / Krosoveris,1 900 €,Benzinas,Mechaninė,"1.6 l., 56 kW",35 550 km,Ukmergė,https://autoplius.lt/skelbimai/lada-2121-1-6-l-visureigis-krosoveris-1983-benzinas-27170947.html
Lada 2107,1989-04,Sedanas,2 150 €,Benzinas,Mechaninė,"1.5 l., 55 kW",84 000 km,Šiauliai,https://autoplius.lt/skelbimai/lada-2107-1-5-l-sedanas-1989-benzinas-28802745.html
Lada 21063,1987-01,Sedanas,2 250 €,Benzinas,Mechaninė,"1.3 l., 51 kW",97 700 km,Marijampolė,https://autoplius.lt/skelbimai/lada-21063-1-3-l-sedanas-1987-benzinas-29772845.html
Lada 21013,1985,Sedanas,2 500 €,Benzinas,Mechaninė,"1.3 l., 55 kW",77 000 km,Šilalė,https://autoplius.lt/skelbimai/lada-21013-1-3-l-sedanas-1985-benzinas-29595423.html
Lada 2101,1979-01,Sedanas,3 200 €,Benzinas,Mechaninė,"1.2 l., 46 kW",34 500 km,Vilnius,https://autoplius.lt/skelbimai/lada-2101-1-2-l-sedanas-1979-benzinas-29798705.html
Lada 2109,1991-07,Hečbekas,3 999 €,Benzinas,Mechaninė,"1.3 l., 47 kW",42 295 km,Marijampolė,https://autoplius.lt/skelbimai/lada-2109-1-3-l-hecbekas-1991-benzinas-23965805.html
Lada 21063,1986,Sedanas,4 000 €,Benzinas,Mechaninė,"1.3 l., 55 kW",68 823 km,Vilnius,https://autoplius.lt/skelbimai/lada-21063-1-3-l-sedanas-1986-benzinas-24492290.html
Lada 2101,1977,Sedanas,4 100 €,Benzinas,Mechaninė,"1.2 l., 46 kW",77 850 km,Molėtai,https://autoplius.lt/skelbimai/lada-2101-1-2-l-sedanas-1977-benzinas-29558621.html
Lada Samara,1990-04,Sedanas,4 400 €,Benzinas,Mechaninė,"1.5 l.,",40 000 km,Vilnius,https://autoplius.lt/skelbimai/lada-samara-1-5-l-sedanas-1990-benzinas-28355784.html
Lada 2102,1978,Universalas,8 999 €,Benzinas,Mechaninė,"1.2 l., 47 kW",24 000 km,Mažeikiai,https://autoplius.lt/skelbimai/lada-2102-1-2-l-universalas-1978-benzinas-29674151.html
