Pavadinimas,Metai,Kėbulo tipas,Kaina,Kuras,Pavarų dėžė,Variklis,Rida,Miestas,Nuoroda
Porsche 911,2001-09,Kupė (Coupe),23 999 €,Benzinas,Mechaninė,"3.4 l., 221 kW",206 325 km,Marijampolė,https://autoplius.lt/skelbimai/porsche-911-3-4-l-kupe-coupe-2001-benzinas-29733091.html
Porsche 911,1999-05,Kupė (Coupe),29 999 €,Benzinas,Mechaninė,"3.4 l., 221 kW",105 697 km,Marijampolė,https://autoplius.lt/skelbimai/porsche-911-3-4-l-kupe-coupe-1999-benzinas-29962347.html
Porsche 911,2005-02,Kupė (Coupe),42 500 €,Benzinas,Mechaninė,"3.6 l., 235 kW",115 000 km,Vilnius,https://autoplius.lt/skelbimai/porsche-911-3-6-l-kupe-coupe-2005-benzinas-29553805.html
Porsche 911,2009-07,Kupė (Coupe),57 500 €,Benzinas,Automatinė,"3.8 l., 283 kW",170 449 km,Vilnius,https://autoplius.lt/skelbimai/porsche-911-3-8-l-kupe-coupe-2009-benzinas-29688655.html
Porsche 911,2010-07,Kabrioletas,59 500 €,Benzinas,Automatinė,"3.8 l., 283 kW",110 000 km,Vilnius,https://autoplius.lt/skelbimai/porsche-911-3-8-l-kabrioletas-2010-benzinas-29802513.html
Porsche 911,2016-01,Kabrioletas,61 900 €,Benzinas,Mechaninė,"3.4 l., 260 kW",49 900 km,Vilnius,https://autoplius.lt/skelbimai/porsche-911-3-4-l-kabrioletas-2016-benzinas-29379578.html
Porsche 911,2003-06,Kupė (Coupe),69 900 €,Benzinas,Mechaninė,"3.6 l., 309 kW",36 500 km,Vilnius,https://autoplius.lt/skelbimai/porsche-911-3-6-l-kupe-coupe-2003-benzinas-29643489.html
Porsche 911,2013-07,Kupė (Coupe),69 999 €,Benzinas,Mechaninė,"3.4 l., 257 kW",87 000 km,Marijampolė,https://autoplius.lt/skelbimai/porsche-911-3-4-l-kupe-coupe-2013-benzinas-23515297.html
Porsche 911,2014-12,Kupė (Coupe),69 999 €,Benzinas,Mechaninė,"3.4 l., 257 kW",99 850 km,Marijampolė,https://autoplius.lt/skelbimai/porsche-911-3-4-l-kupe-coupe-2014-benzinas-21496835.html
Porsche 911,2015-01,Kupė (Coupe),72 000 €,Benzinas,Automatinė,"3.4 l., 257 kW",49 000 km,Vilnius,https://autoplius.lt/skelbimai/porsche-911-3-4-l-kupe-coupe-2015-benzinas-29217756.html
