Pavadinimas,Metai,Kėbulo tipas,Kaina,Kuras,Pavarų dėžė,Variklis,Rida,Miestas,Nuoroda
Skoda Superb,2006-09,Universalas,1 995 €,Dyzelinas,Automatinė,"2.5 l., 120 kW",268 000 km,Kaunas,https://autoplius.lt/skelbimai/skoda-superb-2-5-l-universalas-2006-dyzelinas-29664009.html
Skoda Octavia,2004-07,Universalas,1 250 €,Benzinas,Mechaninė,"2.0 l., 85 kW",235 000 km,Jurbarkas,https://autoplius.lt/skelbimai/skoda-octavia-2-0-l-universalas-2004-benzinas-28257558.html
Skoda Octavia,2005-01,Hečbekas,1 840 €,Dyzelinas,Mechaninė,"2.0 l., 103 kW",308 000 km,Alytus,https://autoplius.lt/skelbimai/skoda-octavia-2-0-l-hecbekas-2005-dyzelinas-29720345.html
Skoda Octavia Scout,2007-12,Universalas,1 200 €,Dyzelinas,Mechaninė,"2.0 l., 103 kW",456 200 km,Kaunas,https://autoplius.lt/skelbimai/skoda-octavia-scout-2-0-l-universalas-2007-dyzelinas-29891472.html
Skoda Octavia,2005-09,Universalas,1 599 €,Dyzelinas,Automatinė,"2.0 l., 103 kW",364 100 km,Klaipėda,https://autoplius.lt/skelbimai/skoda-octavia-2-0-l-universalas-2005-dyzelinas-30070829.html
Skoda Superb,2007,Sedanas,1 200 €,Dyzelinas,Mechaninė,"2.0 l., 103 kW",418 000 km,Klaipėda,https://autoplius.lt/skelbimai/skoda-superb-2-0-l-sedanas-2007-dyzelinas-29636989.html
Skoda Octavia,2007-05,Universalas,1 900 €,Dyzelinas,Automatinė,"2.0 l., 103 kW",345 000 km,Druskininkai,https://autoplius.lt/skelbimai/skoda-octavia-2-0-l-universalas-2007-dyzelinas-30072479.html
Skoda Superb,2008-12,Sedanas,1 500 €,Dyzelinas,Mechaninė,"2.0 l., 103 kW",260 000 km,Šilutė,https://autoplius.lt/skelbimai/skoda-superb-2-0-l-sedanas-2008-dyzelinas-24836773.html
Skoda Octavia,2004,Universalas,1 850 €,Dyzelinas,Mechaninė,"1.9 l., 81 kW",294 000 km,Biržai,https://autoplius.lt/skelbimai/skoda-octavia-1-9-l-universalas-2004-dyzelinas-29595479.html
Skoda Octavia,2010-10,Hečbekas,1 000 €,Dyzelinas,Automatinė,"1.9 l., 77 kW",549 000 km,Vilnius,https://autoplius.lt/skelbimai/skoda-octavia-1-9-l-hecbekas-2010-dyzelinas-30076799.html
Skoda Octavia,2005-12,Universalas,1 200 €,Dyzelinas,Mechaninė,"1.9 l., 77 kW",400 000 km,Vilnius,https://autoplius.lt/skelbimai/skoda-octavia-1-9-l-universalas-2005-dyzelinas-30076605.html
Skoda Octavia,2007-09,Hečbekas,1 250 €,Dyzelinas,Mechaninė,"1.9 l., 77 kW",,Mažeikiai,https://autoplius.lt/skelbimai/skoda-octavia-1-9-l-hecbekas-2007-dyzelinas-30033829.html
Skoda Octavia,2008-04,Universalas,1 500 €,Dyzelinas,Mechaninė,"1.9 l., 77 kW",257 493 km,Vilnius,https://autoplius.lt/skelbimai/skoda-octavia-1-9-l-universalas-2008-dyzelinas-29890428.html
Skoda Octavia,2007-03,Sedanas,1 200 €,Dyzelinas,Mechaninė,"1.9 l., 76 kW",221 600 km,Vilnius,https://autoplius.lt/skelbimai/skoda-octavia-1-9-l-sedanas-2007-dyzelinas-29895070.html
Skoda Octavia,2002,Universalas,1 300 €,Dyzelinas,Mechaninė,"1.9 l., 74 kW",472 300 km,Marijampolė,https://autoplius.lt/skelbimai/skoda-octavia-1-9-l-universalas-2002-dyzelinas-29710781.html
Skoda Octavia Scout,2009-03,Universalas,1 800 €,Benzinas,Mechaninė,"1.8 l., 118 kW",,Vilnius,https://autoplius.lt/skelbimai/skoda-octavia-scout-1-8-l-universalas-2009-benzinas-30015525.html
Skoda Octavia,2008-06,Universalas,1 950 €,Benzinas,Mechaninė,"1.6 l., 85 kW",283 000 km,Kupiškis,https://autoplius.lt/skelbimai/skoda-octavia-1-6-l-universalas-2008-benzinas-29375394.html
Skoda Octavia,2012,Universalas,1 800 €,Dyzelinas,Mechaninė,"1.6 l., 77 kW",232 300 km,Vilnius,https://autoplius.lt/skelbimai/skoda-octavia-1-6-l-universalas-2012-dyzelinas-29789205.html
Skoda Octavia,2011-03,Hečbekas,1 950 €,Dyzelinas,Mechaninė,"1.6 l., 77 kW",280 000 km,Klaipėda,https://autoplius.lt/skelbimai/skoda-octavia-1-6-l-hecbekas-2011-dyzelinas-29691251.html
Skoda Octavia,2007-07,Universalas,1 950 €,Benzinas,Mechaninė,"1.6 l., 75 kW",139 546 km,Marijampolė,https://autoplius.lt/skelbimai/skoda-octavia-1-6-l-universalas-2007-benzinas-29890040.html
Skoda Octavia,2000-11,Hečbekas,1 499 €,Benzinas,Mechaninė,"1.6 l., 74 kW",216 552 km,Alytus,https://autoplius.lt/skelbimai/skoda-octavia-1-6-l-hecbekas-2000-benzinas-30005441.html
Skoda Roomster,2014-04,Vienatūris,1 999 €,Dyzelinas,Mechaninė,"1.6 l., 66 kW",381 500 km,Vilnius,https://autoplius.lt/skelbimai/skoda-roomster-1-6-l-vienaturis-2014-dyzelinas-29989255.html
Skoda Fabia,2006,Universalas,1 200 €,Dyzelinas,Mechaninė,"1.5 l., 55 kW",250 000 km,Kaunas,https://autoplius.lt/skelbimai/skoda-fabia-1-5-l-universalas-2006-dyzelinas-30011663.html
Skoda Octavia,2012-05,Universalas,1 650 €,Benzinas,Mechaninė,"1.4 l., 90 kW",381 847 km,Kaunas,https://autoplius.lt/skelbimai/skoda-octavia-1-4-l-universalas-2012-benzinas-30064559.html
Skoda Roomster,2008,Vienatūris,1 000 €,Benzinas,Mechaninė,"1.4 l., 63 kW",,Vilnius,https://autoplius.lt/skelbimai/skoda-roomster-1-4-l-vienaturis-2008-benzinas-29775399.html
Skoda Fabia,2010-02,Universalas,1 999 €,Dyzelinas,Mechaninė,"1.4 l., 59 kW",360 600 km,Vilnius,https://autoplius.lt/skelbimai/skoda-fabia-1-4-l-universalas-2010-dyzelinas-29842174.html
Skoda Roomster,2007-11,Vienatūris,1 000 €,Dyzelinas,Mechaninė,"1.4 l., 59 kW",300 000 km,Šiauliai,https://autoplius.lt/skelbimai/skoda-roomster-1-4-l-vienaturis-2007-dyzelinas-28673693.html
Skoda Fabia,2008,Hečbekas,1 850 €,Dyzelinas,Mechaninė,"1.4 l., 59 kW",249 357 km,Šiauliai,https://autoplius.lt/skelbimai/skoda-fabia-1-4-l-hecbekas-2008-dyzelinas-29697427.html
Skoda Fabia,2008-07,Hečbekas,1 900 €,Benzinas,Mechaninė,"1.4 l., 55 kW",137 900 km,Visaginas,https://autoplius.lt/skelbimai/skoda-fabia-1-4-l-hecbekas-2008-benzinas-29464978.html
Skoda Octavia,2008-05,Hečbekas,1 599 €,Benzinas,Mechaninė,"1.4 l., 55 kW",170 248 km,Marijampolė,https://autoplius.lt/skelbimai/skoda-octavia-1-4-l-hecbekas-2008-benzinas-28882867.html
