Pavadinimas,Metai,Kėbulo tipas,Kaina,Kuras,Pavarų dėžė,Variklis,Rida,Miestas,Nuoroda
Smart Fortwo,2018-03,Kupė (Coupe),7 300 €,"Elektra, 18 kWh",Automatinė,"Elektra, 18 kWh",45 629 km,Šiauliai,https://autoplius.lt/skelbimai/smart-fortwo-18-kwh-kupe-coupe-2018-elektra-29785635.html
Smart Fortwo,2008-10,Kabrioletas,2 650 €,Benzinas,Automatinė,"1.0 l., 52 kW",215 000 km,Marijampolė,https://autoplius.lt/skelbimai/smart-fortwo-1-0-l-kabrioletas-2008-benzinas-28954719.html
Smart Forfour,2006-10,Hečbekas,999 €,Dyzelinas,Mechaninė,"1.5 l., 70 kW",230 000 km,Vilnius,https://autoplius.lt/skelbimai/smart-forfour-1-5-l-hecbekas-2006-dyzelinas-30041911.html
Smart -kita-,2002,Hečbekas,650 €,Dyzelinas,Automatinė,,300 600 km,Skuodas,https://autoplius.lt/skelbimai/smart-kita-hecbekas-2002-dyzelinas-29720245.html
Smart Fortwo,2000-09,Kupė (Coupe),850 €,Benzinas,Automatinė,"0.6 l., 40 kW",164 000 km,Kaunas,https://autoplius.lt/skelbimai/smart-fortwo-0-6-l-kupe-coupe-2000-benzinas-29879568.html
Smart Forfour,2004-11,Hečbekas,950 €,Dyzelinas,Mechaninė,"1.5 l., 50 kW",237 027 km,Vilnius,https://autoplius.lt/skelbimai/smart-forfour-1-5-l-hecbekas-2004-dyzelinas-29920817.html
Smart Fortwo,2004-11,Kupė (Coupe),1 550 €,Benzinas,Mechaninė,"0.7 l., 37 kW",150 000 km,Vilnius,https://autoplius.lt/skelbimai/smart-fortwo-0-7-l-kupe-coupe-2004-benzinas-27783518.html
Smart Roadster,2005-05,Kabrioletas,6 500 €,Benzinas / dujos,Automatinė,"0.7 l., 60 kW",155 000 km,"Rīga, Latvija",https://autoplius.lt/skelbimai/smart-roadster-0-7-l-kabrioletas-2005-benzinas-dujos-27115249.html
Smart Forfour,2016-06,Hečbekas,7 989 €,Benzinas,Automatinė,"0.9 l., 66 kW",110 000 km,Panevėžys,https://autoplius.lt/skelbimai/smart-forfour-0-9-l-hecbekas-2016-benzinas-29789529.html
Smart Forfour,2018-03,Hečbekas,8 712 €,"Elektra, 18 kWh",Automatinė,"Elektra, 18 kWh",78 500 km,Šakiai,https://autoplius.lt/skelbimai/smart-forfour-18-kwh-hecbekas-2018-elektra-29202181.html
