Pavadinimas,Metai,Kėbulo tipas,Kaina,Kuras,Pavarų dėžė,Variklis,Rida,Miestas,Nuoroda
Volkswagen Golf,2011-05,Universalas,4 700 €,Dyzelinas,Mechaninė,"2.0 l., 103 kW",307 000 km,Vilnius,https://autoplius.lt/skelbimai/volkswagen-golf-2-0-l-universalas-2011-dyzelinas-30041115.html
Volkswagen Golf,2000-06,Hečbekas,1 700 €,Dyzelinas,Automatinė,"1.9 l., 81 kW",289 543 km,Vilnius,https://autoplius.lt/skelbimai/volkswagen-golf-1-9-l-hecbekas-2000-dyzelinas-30047155.html
Volkswagen Golf,2009-09,Hečbekas,3 600 €,Benzinas,Mechaninė,"1.4 l., 90 kW",226 000 km,Vilnius,https://autoplius.lt/skelbimai/volkswagen-golf-1-4-l-hecbekas-2009-benzinas-29939205.html
Volkswagen Golf,2014-11,Hečbekas,6 650 €,Benzinas,Automatinė,"1.4 l., 90 kW",200 800 km,Trakai,https://autoplius.lt/skelbimai/volkswagen-golf-1-4-l-hecbekas-2014-benzinas-30008467.html
Volkswagen Golf,2016,Universalas,6 999 €,Dyzelinas,Automatinė,"1.6 l., 81 kW",259 508 km,Vilnius,https://autoplius.lt/skelbimai/volkswagen-golf-1-6-l-universalas-2016-dyzelinas-30042425.html
Volkswagen Golf,2014-03,Hečbekas,7 500 €,Dyzelinas,Automatinė,"1.6 l., 77 kW",279 006 km,Kaunas,https://autoplius.lt/skelbimai/volkswagen-golf-1-6-l-hecbekas-2014-dyzelinas-29722523.html
Volkswagen Golf,2016-03,Hečbekas,8 500 €,Benzinas,Automatinė,"2.0 l., 215 kW",228 814 km,Vilnius,https://autoplius.lt/skelbimai/volkswagen-golf-2-0-l-hecbekas-2016-benzinas-30039883.html
Volkswagen Golf,2021-05,Hečbekas,16 600 €,Benzinas,Automatinė,"1.5 l., 96 kW",146 576 km,Vilnius,https://autoplius.lt/skelbimai/volkswagen-golf-1-5-l-hecbekas-2021-benzinas-30022715.html
Volkswagen Golf,2022-02,Universalas,16 600 €,Dyzelinas,Automatinė,"2.0 l., 85 kW",165 983 km,Vilnius,https://autoplius.lt/skelbimai/volkswagen-golf-2-0-l-universalas-2022-dyzelinas-30022793.html
Volkswagen Golf,2022-10,Universalas,16 750 €,Dyzelinas,Automatinė,"2.0 l., 85 kW",147 272 km,Vilnius,https://autoplius.lt/skelbimai/volkswagen-golf-2-0-l-universalas-2022-dyzelinas-30022685.html
Volkswagen Golf,2022-11,Universalas,17 500 €,Dyzelinas,Automatinė,"2.0 l., 110 kW",157 768 km,Vilnius,https://autoplius.lt/skelbimai/volkswagen-golf-2-0-l-universalas-2022-dyzelinas-30022655.html
Volkswagen Golf,2020-09,Hečbekas,17 800 €,Benzinas,Mechaninė,"2.0 l., 170 kW",48 000 km,Šakiai,https://autoplius.lt/skelbimai/volkswagen-golf-2-0-l-hecbekas-2020-benzinas-30032647.html
Volkswagen Golf,2023-05,Universalas,20 000 €,Benzinas,Automatinė,"1.0 l., 81 kW",40 500 km,Vilnius,https://autoplius.lt/skelbimai/volkswagen-golf-1-0-l-universalas-2023-benzinas-30047875.html
Volkswagen Golf,2022-05,Universalas,20 900 €,Dyzelinas,Automatinė,"2.0 l., 147 kW",166 139 km,Vilnius,https://autoplius.lt/skelbimai/volkswagen-golf-2-0-l-universalas-2022-dyzelinas-30022725.html
Volkswagen Golf,2000-05,Hečbekas,900 €,Dyzelinas,Automatinė,"1.9 l., 81 kW",298 478 km,Vilnius,https://autoplius.lt/skelbimai/volkswagen-golf-1-9-l-hecbekas-2000-dyzelinas-29719009.html
Volkswagen Golf,2009-12,Universalas,2 800 €,Dyzelinas,Automatinė,"2.0 l., 103 kW",320 000 km,Kaunas,https://autoplius.lt/skelbimai/volkswagen-golf-2-0-l-universalas-2009-dyzelinas-30027515.html
Volkswagen Golf,2011-08,Hečbekas,3 500 €,Dyzelinas,Mechaninė,"1.6 l., 66 kW",300 000 km,Vilnius,https://autoplius.lt/skelbimai/volkswagen-golf-1-6-l-hecbekas-2011-dyzelinas-29210697.html
Volkswagen Golf,2011-09,Universalas,3 850 €,Dyzelinas,Mechaninė,"1.6 l., 77 kW",275 000 km,Marijampolė,https://autoplius.lt/skelbimai/volkswagen-golf-1-6-l-universalas-2011-dyzelinas-29316882.html
Volkswagen Golf,2012-06,Universalas,3 850 €,Benzinas,Mechaninė,"1.2 l., 77 kW",194 000 km,Kaunas,https://autoplius.lt/skelbimai/volkswagen-golf-1-2-l-universalas-2012-benzinas-30000665.html
Volkswagen Golf,2009-03,Hečbekas,3 900 €,Dyzelinas,Mechaninė,"2.0 l., 81 kW",320 000 km,Panevėžys,https://autoplius.lt/skelbimai/volkswagen-golf-2-0-l-hecbekas-2009-dyzelinas-30041335.html
Volkswagen Golf,2011-10,Universalas,3 900 €,Benzinas / dujos,Automatinė,"1.4 l., 90 kW",270 000 km,Vilnius,https://autoplius.lt/skelbimai/volkswagen-golf-1-4-l-universalas-2011-benzinas-dujos-29797009.html
Volkswagen Golf,2009-05,Hečbekas,3 950 €,Benzinas,Mechaninė,"1.4 l., 59 kW",159 601 km,Šiauliai,https://autoplius.lt/skelbimai/volkswagen-golf-1-4-l-hecbekas-2009-benzinas-30027287.html
Volkswagen Golf,2010-10,Universalas,4 100 €,Dyzelinas,Mechaninė,"1.6 l., 77 kW",263 000 km,Šiauliai,https://autoplius.lt/skelbimai/volkswagen-golf-1-6-l-universalas-2010-dyzelinas-29961709.html
Volkswagen Golf,2012-09,Universalas,4 100 €,Dyzelinas,Mechaninė,"1.6 l., 77 kW",247 000 km,Šiauliai,https://autoplius.lt/skelbimai/volkswagen-golf-1-6-l-universalas-2012-dyzelinas-30023671.html
Volkswagen Golf,2010-04,Hečbekas,4 400 €,Benzinas,Mechaninė,"1.4 l., 90 kW",161 500 km,Tauragė,https://autoplius.lt/skelbimai/volkswagen-golf-1-4-l-hecbekas-2010-benzinas-29969885.html
Volkswagen Golf,2011-06,Hečbekas,4 650 €,Benzinas,Mechaninė,"1.4 l., 90 kW",214 000 km,Klaipėda,https://autoplius.lt/skelbimai/volkswagen-golf-1-4-l-hecbekas-2011-benzinas-29839770.html
Volkswagen Golf,2010-10,Hečbekas,4 750 €,Benzinas,Mechaninė,"1.8 l., 118 kW",174 662 km,Kretinga,https://autoplius.lt/skelbimai/volkswagen-golf-1-8-l-hecbekas-2010-benzinas-30034833.html
Volkswagen Golf,2011-12,Hečbekas,4 900 €,Benzinas,Automatinė,"1.2 l., 77 kW",200 000 km,Kaunas,https://autoplius.lt/skelbimai/volkswagen-golf-1-2-l-hecbekas-2011-benzinas-29443016.html
Volkswagen Golf,2010-08,Hečbekas,4 950 €,Dyzelinas,Automatinė,"1.6 l., 77 kW",343 000 km,Kaunas,https://autoplius.lt/skelbimai/volkswagen-golf-1-6-l-hecbekas-2010-dyzelinas-29842214.html
Volkswagen Golf,2010,Hečbekas,5 450 €,Benzinas,Automatinė,"1.4 l., 90 kW",222 150 km,Kėdainiai,https://autoplius.lt/skelbimai/volkswagen-golf-1-4-l-hecbekas-2010-benzinas-29920575.html
Volkswagen Golf,2014-05,Hečbekas,5 500 €,Benzinas,Mechaninė,"1.2 l., 77 kW",291 000 km,Kaunas,https://autoplius.lt/skelbimai/volkswagen-golf-1-2-l-hecbekas-2014-benzinas-30015917.html
Volkswagen Golf,2009-11,Hečbekas,5 800 €,Benzinas,Automatinė,"1.4 l., 118 kW",190 551 km,Kretinga,https://autoplius.lt/skelbimai/volkswagen-golf-1-4-l-hecbekas-2009-benzinas-30005819.html
Volkswagen Golf,2017-12,Universalas,5 999 €,Dyzelinas,Mechaninė,"1.6 l., 85 kW",239 577 km,Marijampolė,https://autoplius.lt/skelbimai/volkswagen-golf-1-6-l-universalas-2017-dyzelinas-29121105.html
Volkswagen Golf,2013-12,Hečbekas,6 000 €,Dyzelinas,Mechaninė,"1.6 l., 81 kW",252 883 km,Telšiai,https://autoplius.lt/skelbimai/volkswagen-golf-1-6-l-hecbekas-2013-dyzelinas-28899945.html
